x_px,sigma_0p75,sigma_1p5,sigma_3
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0
22.0,0.0,0.0,6.1992824899446e-06
23.0,0.0,0.0,0.0001792770203827963
24.0,0.0,0.0,0.0006872772113904125
25.0,0.0,0.0,0.002297955286573744
26.0,0.0,0.0,0.006884665563238893
27.0,0.0,0.0,0.018482058739242302
28.0,0.0,2.3045175373741583e-06,0.04445686929817225
29.0,0.0,0.00013759810190178774,0.0958172017408015
30.0,0.0,0.0017519603621857771,0.1850422530411197
31.0,3.670810841612456e-07,0.014528811750042227,0.3203457191274832
32.0,0.00014867648908384863,0.07899194707540969,0.4970440629163349
33.0,0.011768421493905242,0.28131874248380184,0.6917472562033725
34.0,0.224947799044625,0.6557490697092038,0.8648860905272926
35.0,0.9983347031411354,0.9998056330348432,0.9750781937351027
36.0,0.9901206451324001,0.9965697907215378,0.9998525788684557
37.0,0.21597527799896235,0.6492735901701444,0.9504439141452614
38.0,0.010330337925138693,0.2779055738580793,0.8695364749411657
39.0,0.00010701911170284691,0.09075904111808918,0.8107962402041988
40.0,0.00010336430316376678,0.09086013007401827,0.8108627495052599
41.0,0.010332324572856754,0.27822426522307364,0.8697082502732012
42.0,0.21692672627572795,0.6497537040542245,0.9506482441809707
43.0,0.9895049457650723,0.9970377831316335,1.0
44.0,1.0,1.0,0.9750979953808384
45.0,0.22387327043554353,0.6554342695630999,0.8647538745714621
46.0,0.010882033853760001,0.2806994992942937,0.691491317780118
47.0,0.00011053070982165928,0.07852850701436785,0.496728083233135
48.0,1.4924240314274788e-07,0.014345763556483085,0.3200400018662042
49.0,0.0,0.0017104791958054387,0.18479456800327526
50.0,0.0,0.00013231248267247321,0.0956429212588953
51.0,0.0,1.99173074841386e-06,0.04435096612890832
52.0,0.0,0.0,0.018425630867784752
53.0,0.0,0.0,0.00685817774180846
54.0,0.0,0.0,0.0022869676593274095
55.0,0.0,0.0,0.0006832408530836556
56.0,0.0,0.0,0.00017941135454424496
57.0,0.0,0.0,6.661189760624738e-06
58.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0
66.0,0.0,0.0,0.0
67.0,0.0,0.0,0.0
68.0,0.0,0.0,0.0
69.0,0.0,0.0,0.0
70.0,0.0,0.0,0.0
71.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0
73.0,0.0,0.0,0.0
74.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0
76.0,0.0,0.0,0.0
77.0,0.0,0.0,0.0
78.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0
