frame,emitter_id,x_px,y_px
0.0,1.0,43.5,39.5
1.0,1.0,43.5,39.5
2.0,1.0,43.5,39.5
3.0,1.0,43.5,39.5
4.0,0.0,35.5,39.5
5.0,0.0,35.5,39.5
6.0,1.0,43.5,39.5
7.0,0.0,35.5,39.5
8.0,0.0,35.5,39.5
9.0,1.0,43.5,39.5
10.0,1.0,43.5,39.5
11.0,1.0,43.5,39.5
12.0,0.0,35.5,39.5
13.0,1.0,43.5,39.5
14.0,1.0,43.5,39.5
15.0,1.0,43.5,39.5
16.0,1.0,43.5,39.5
17.0,1.0,43.5,39.5
18.0,0.0,35.5,39.5
19.0,0.0,35.5,39.5
20.0,0.0,35.5,39.5
21.0,0.0,35.5,39.5
22.0,1.0,43.5,39.5
23.0,1.0,43.5,39.5
24.0,1.0,43.5,39.5
25.0,0.0,35.5,39.5
26.0,0.0,35.5,39.5
27.0,0.0,35.5,39.5
28.0,1.0,43.5,39.5
29.0,0.0,35.5,39.5
30.0,0.0,35.5,39.5
31.0,0.0,35.5,39.5
32.0,1.0,43.5,39.5
33.0,0.0,35.5,39.5
34.0,0.0,35.5,39.5
35.0,1.0,43.5,39.5
36.0,1.0,43.5,39.5
37.0,0.0,35.5,39.5
38.0,1.0,43.5,39.5
39.0,0.0,35.5,39.5
40.0,1.0,43.5,39.5
41.0,1.0,43.5,39.5
42.0,0.0,35.5,39.5
43.0,0.0,35.5,39.5
44.0,0.0,35.5,39.5
45.0,0.0,35.5,39.5
46.0,0.0,35.5,39.5
47.0,0.0,35.5,39.5
48.0,0.0,35.5,39.5
49.0,1.0,43.5,39.5
50.0,1.0,43.5,39.5
51.0,1.0,43.5,39.5
52.0,1.0,43.5,39.5
53.0,1.0,43.5,39.5
54.0,0.0,35.5,39.5
55.0,1.0,43.5,39.5
56.0,1.0,43.5,39.5
57.0,0.0,35.5,39.5
58.0,0.0,35.5,39.5
59.0,0.0,35.5,39.5
60.0,1.0,43.5,39.5
61.0,0.0,35.5,39.5
62.0,1.0,43.5,39.5
63.0,0.0,35.5,39.5
64.0,1.0,43.5,39.5
65.0,1.0,43.5,39.5
66.0,0.0,35.5,39.5
67.0,0.0,35.5,39.5
68.0,0.0,35.5,39.5
69.0,1.0,43.5,39.5
70.0,1.0,43.5,39.5
